10000 10000
1 3124 -2.914600
1 9428 -0.047100
2 3820 0.528900
3 8826 0.268500
5 2543 0.050200
6 2092 -0.464100
6 3163 -0.733100
8 8085 -0.863000
9 3127 0.920800
9 4696 0.839800
10 4360 0.781300
10 5838 -1.505000
10 7000 0.638800
10 8206 -1.059600
11 926 -1.153100
11 8425 1.013800
13 7481 -0.788500
17 6818 1.549900
17 7826 0.643700
18 2337 0.057300
18 6607 -1.467500
19 7226 -1.869100
20 5872 0.996500
22 9332 -0.839900
24 4774 -1.469900
25 854 -0.167900
25 1535 -1.120400
25 9870 0.033600
27 133 1.540600
27 3487 1.588400
29 3004 0.649600
29 9014 -0.987500
31 2113 1.325400
31 8028 0.715900
33 2461 -0.950400
34 4274 0.274400
34 4383 0.216800
34 5667 0.188400
35 402 -0.541900
35 2385 -1.911500
36 2740 -1.676900
36 3303 0.461500
36 7217 0.523600
36 8219 0.878200
39 756 -1.505700
40 911 -0.238700
40 2950 1.954000
41 4142 0.053500
41 6433 0.106400
42 3586 -0.666700
42 5201 0.686200
42 5986 -0.108200
43 3405 -0.273200
44 9441 0.832100
45 3666 1.027900
45 4690 1.192800
46 305 -0.196800
47 6115 0.633200
47 7170 -0.571100
48 5329 -0.071200
50 2135 0.156100
50 6133 -0.693800
51 4134 0.275000
51 6479 -0.195700
51 9903 -0.435300
52 5200 1.295300
54 5918 0.348500
55 656 0.343600
56 3291 0.518400
56 9659 0.554200
58 319 0.076200
58 6030 2.615000
58 6488 -0.504500
61 1449 1.880400
61 5849 -1.018000
62 5775 0.218600
63 57 0.786900
63 5582 -1.642500
64 5508 0.705400
65 5634 0.188700
65 7987 -0.374600
66 8248 -0.729700
67 2448 0.234500
68 1174 -0.115900
69 698 -0.489600
70 4358 0.538900
72 968 -0.134400
76 6922 1.545300
77 924 -2.390300
78 4810 0.147600
78 6728 0.875200
80 9152 -0.625900
83 2198 0.362400
83 8552 0.822400
83 9898 -0.130500
84 7311 -0.572200
85 502 -0.728000
86 8544 0.908500
86 9287 0.318400
89 9802 0.361800
90 216 -0.865400
90 4937 -2.706000
91 6894 -0.871200
94 239 1.896100
94 2998 -0.624100
94 5491 0.890200
94 9276 0.788300
96 6010 -0.498000
97 4261 0.263000
97 5455 -0.447200
99 750 0.041300
99 3229 -0.210500
99 9028 1.398800
100 1915 -0.473900
101 3945 -1.207500
105 6234 0.168600
105 6293 -1.199300
106 6273 0.711800
108 2750 -1.321800
108 4122 -0.762200
109 471 0.575300
109 7088 0.905600
110 1495 -0.532400
110 3529 1.561300
111 1866 -0.583100
114 3061 -0.777800
114 4481 -0.400300
115 4829 -0.535600
115 8401 0.714800
116 6478 -0.495600
118 950 -1.136600
118 8401 1.367600
121 873 -1.577000
121 6043 2.564400
121 6645 -0.416000
121 8270 0.745700
122 6902 0.767700
123 5025 1.100500
124 7643 -1.010000
124 9570 -0.297400
125 4960 0.749100
125 5019 1.988200
129 9069 -0.086800
131 188 -2.013200
131 1026 -0.372300
132 1148 -0.517200
134 6336 -0.629700
135 2812 -0.359200
137 6235 -0.940700
139 8545 0.384500
140 3282 0.741100
142 7092 0.405200
142 9935 -0.502800
143 8140 -0.122000
145 2794 0.451200
146 3062 -0.205500
148 6132 -1.698800
150 7884 0.322600
151 17 -0.653800
151 5698 -1.641600
151 8935 -1.702400
151 9214 -0.715800
152 5596 1.112100
153 7155 -0.654000
153 8259 1.804900
155 8987 0.065100
156 9383 0.164300
159 5287 0.881300
159 6747 2.228700
160 1958 0.455100
160 5362 0.596000
161 5698 0.833900
162 4015 0.015000
162 9112 0.000700
162 9274 1.334400
163 3506 0.035000
164 1159 0.888700
165 3018 0.960400
165 7743 0.254800
168 9198 -0.172300
170 6402 -0.437000
171 6139 1.483800
171 6223 -0.454200
172 7256 1.144500
174 2719 0.142900
174 3032 0.168600
174 9428 -0.989000
175 3895 1.016600
175 7139 -0.464400
176 605 0.261700
177 2805 0.393300
177 6459 0.019000
180 1638 1.310700
180 5357 0.531400
180 8686 -1.674500
181 1458 1.707400
181 5809 -0.483900
182 2209 -0.875400
182 2994 0.548300
184 2119 -0.590800
184 4990 -0.712900
185 2471 -0.445800
185 2758 -0.467400
185 4687 -0.798500
186 3071 1.368200
186 7990 0.205100
186 8936 -1.497300
190 3527 -1.782600
191 5847 0.767000
192 4308 0.060800
192 7017 -0.485900
193 5494 0.281000
193 6716 -0.182900
194 7382 0.078800
195 2748 -2.074600
195 9123 0.767900
197 5609 -1.041600
200 3330 1.623600
200 7327 -1.253700
201 8344 0.702200
202 551 0.130000
202 7964 -1.156000
203 7567 -0.319900
204 575 0.588100
205 8444 -1.124700
207 4537 0.425900
207 7520 0.585200
210 3394 1.064300
210 4947 0.493600
211 4097 1.441400
211 5176 -0.569200
212 3340 -0.038200
213 1086 1.028700
217 5086 -0.854500
217 9614 -1.357900
218 3646 3.083700
218 9266 0.555400
219 1610 0.883300
219 4652 -0.846900
219 8407 0.028200
220 811 1.172400
221 347 0.630200
221 3330 -0.969000
221 4124 -0.120200
221 6156 -1.718400
223 1149 -1.059000
223 5184 0.303800
223 9417 0.142400
224 2352 -1.422500
226 5674 0.879600
227 1056 -1.193000
227 7670 0.547800
229 8098 0.245200
229 8277 0.663600
230 7739 -1.289400
231 890 1.364100
231 6586 0.007400
232 5304 1.688800
234 9753 -0.851800
237 1248 0.467300
237 3735 0.409900
237 9640 -0.491200
239 610 0.120100
239 619 0.624300
240 1902 0.739100
240 2766 0.494600
240 5209 -1.231400
241 5885 -0.597600
243 1820 -0.034500
244 567 -0.662200
244 2635 0.350400
245 4797 -0.660700
245 8299 -0.928700
245 9641 0.896000
246 9208 -0.865900
248 9434 0.465800
249 6481 -0.029300
250 3999 0.618500
252 2122 0.497900
252 6933 1.162400
253 127 0.377600
253 3244 0.195700
253 3637 1.140900
253 4283 -0.611900
253 6550 -0.245700
254 6886 0.111900
255 1118 0.418900
255 6110 0.451200
257 9050 -0.885200
259 1028 -0.295600
260 2196 0.317800
260 9541 2.328100
261 1317 -1.724900
263 8113 1.531000
264 1114 2.261700
264 3165 2.422000
265 8887 0.327800
268 2686 0.667200
268 4057 0.336800
268 8759 0.218600
269 182 1.058300
269 540 1.097900
269 6154 1.624700
270 5984 1.735300
271 6437 0.458900
271 7157 0.946300
272 2624 0.213600
272 4238 -0.658200
272 4982 0.752800
273 2427 -1.021100
274 5347 0.467400
278 6743 -2.244100
278 7061 1.076800
279 4132 -0.057500
279 7831 -0.302300
279 8763 0.121100
281 3941 -0.728400
284 9890 2.401500
286 766 -0.760500
286 9235 0.054700
287 3452 -0.312100
288 3087 0.567200
290 2157 0.554600
290 2499 1.490800
291 7371 -0.188400
292 2776 -0.417800
295 8888 1.530200
297 951 0.473900
297 4519 -0.488000
297 6139 -0.845600
298 8491 0.561800
301 2864 0.390100
303 1908 -0.324500
304 2702 1.462200
307 3861 -0.457100
308 9451 -0.240600
309 3826 0.090600
309 9371 -0.324600
310 2086 0.515400
311 8757 -0.931100
311 9863 -0.862900
312 2315 -0.206500
312 2988 -0.250100
312 6231 -0.039400
312 6827 -0.829800
313 7725 1.059900
314 6206 0.875500
315 3579 0.384000
316 9646 0.890700
317 6157 0.373000
317 8652 1.427500
319 9696 -0.375000
320 559 0.669200
320 6968 -0.161200
320 8633 0.539900
321 7467 -0.593800
322 9506 -1.700800
323 2368 0.583000
324 3482 -1.282200
326 4907 -1.323300
329 3921 -0.422200
330 9890 0.179300
331 8147 1.499200
331 8538 -0.955000
332 1949 -0.757700
332 8061 -1.824500
333 5056 -0.639200
333 8713 -0.758600
336 3422 1.739300
338 6163 0.473700
339 6726 1.384800
339 7657 1.138400
339 8328 0.606000
340 662 1.300400
342 6206 -1.146600
342 6559 0.821600
342 9309 -0.503700
343 410 0.301500
