10000 10000
0 6609 0.319000
2 6956 0.351900
2 9213 -2.155000
3 9512 0.167600
6 7630 0.055700
8 6734 -0.407000
8 9764 1.423600
12 606 -0.641600
13 2419 -0.431800
22 8544 0.133900
24 193 -1.451700
27 596 0.129800
28 1828 -0.914000
29 7811 0.436800
40 5516 0.282800
43 4917 0.462300
44 1490 -0.578700
44 9949 -0.459600
48 7153 -0.666400
52 6733 0.286600
53 7186 1.095400
57 4382 0.913500
60 1005 -0.896000
60 3879 1.042800
60 8619 -1.081800
64 656 -0.048200
64 9493 -1.426100
65 1845 -0.794000
68 7030 -0.221500
73 3535 2.328800
76 5180 -0.285100
84 1449 -0.004100
85 495 0.782200
85 8894 0.468900
90 5610 -1.014800
90 6514 2.220200
90 9901 0.582900
94 1904 0.260900
95 3006 -0.969000
97 1947 0.324400
98 9930 0.659100
100 9784 0.170900
103 1886 -0.381800
103 3958 -0.308400
103 5058 -1.457400
103 5847 0.061400
103 7237 -1.339200
104 8121 -0.337300
104 8354 1.951300
109 9243 0.175200
113 2269 0.163900
114 5736 -0.654700
117 5515 0.193700
119 68 -0.681400
119 4958 1.175500
121 1294 -0.508900
123 7024 -0.101300
124 4522 -0.708500
129 9006 -1.584300
132 2696 -1.315700
137 1207 1.064500
138 2038 0.215600
141 9723 1.495900
144 5657 -0.980900
147 281 -1.065200
148 1010 0.140500
149 8141 -1.449900
149 8223 1.448300
152 5306 0.421500
154 1980 0.896400
157 614 -0.779100
159 1141 1.794600
159 2579 0.391300
164 1863 -1.413000
164 3110 1.274200
167 5121 -0.397100
168 181 -0.086000
171 6245 -1.754300
173 1237 0.022400
176 5150 1.028100
176 8761 -0.706000
177 7573 -0.029700
184 2762 0.550200
185 5966 0.229800
186 4279 0.998600
188 1600 0.537900
189 1157 0.153400
192 5650 -1.706800
193 5342 -0.975000
195 715 -0.204600
195 1583 -0.942000
195 8495 2.392200
199 1441 0.087600
199 9247 1.262300
200 9456 2.081700
201 4868 -0.788000
203 776 -0.463800
205 4760 0.693500
208 6678 1.053100
210 3324 -0.325400
211 8485 0.879300
216 2004 -0.544800
216 6589 0.288200
218 5327 -0.769100
220 5342 -0.813300
225 3669 0.027600
226 9153 1.119100
228 1614 1.840700
230 5690 -0.274000
231 701 0.374000
236 5140 0.747000
239 1349 0.362800
244 9669 0.146800
246 2813 0.186500
246 9556 1.278500
250 923 -0.796700
250 5002 1.383500
258 5514 -1.892200
258 7641 0.549900
259 4162 1.949800
260 4833 -2.216900
266 8212 -0.498900
266 9843 -1.333600
267 5530 0.480300
267 5658 -0.680600
270 769 0.886700
270 9677 0.081500
275 1311 1.971800
275 6407 2.450000
275 9529 -0.329500
279 1005 -0.543500
280 6455 -0.644700
281 9107 1.350800
282 2886 0.712600
283 3790 -0.011400
283 6585 -0.430200
284 5818 -0.293400
286 571 0.508000
287 2944 0.836900
288 5822 -0.908900
292 8572 -0.978700
297 6954 1.216500
299 958 -0.210100
299 8007 0.747800
300 1746 0.509100
300 4448 0.482900
301 4036 0.411000
302 5915 -0.156900
303 784 0.755700
305 1792 1.850900
312 3690 0.244000
314 7506 -1.409500
315 6705 0.528400
322 1059 0.955500
325 547 -0.486100
325 5431 -0.913300
326 6030 -0.571700
328 7949 0.860900
329 9854 -0.344100
332 221 0.597400
336 5983 -0.314300
337 7549 -0.383200
338 2799 0.301600
340 5812 -1.186400
343 6967 1.324400
352 474 0.604900
352 9989 -0.000900
