5000 9500
1 2144 0.135800
1 4056 0.511500
2 4534 0.041400
3 7419 0.312400
4 5759 0.321800
5 3047 0.948300
5 5569 0.207300
6 3151 0.489300
6 6239 0.444700
7 2603 0.820800
7 2962 0.017500
8 2732 0.788500
10 9337 0.540800
11 1326 0.045500
11 3796 0.513900
13 2428 0.445600
15 6634 0.491400
16 6275 0.659900
17 6366 0.505400
19 1721 0.741900
19 3118 0.943800
21 2790 0.799300
21 8121 0.437700
22 7003 0.090300
23 431 0.933600
23 5394 0.378400
25 265 0.758900
28 1528 0.803800
29 4076 0.804200
30 5427 0.595800
30 6163 0.325000
31 5315 0.748300
33 8995 0.476500
36 2998 0.515600
37 552 0.480100
38 8462 0.424000
38 8636 0.176000
39 7264 0.280600
41 1593 0.877700
43 5164 0.873900
44 2526 0.489600
46 3508 0.606300
48 753 0.717700
49 279 0.140000
49 987 0.583100
50 4374 0.195000
50 7698 0.063300
51 2470 0.063900
54 1276 0.939900
56 4954 0.520200
57 2091 0.150100
58 9092 0.646600
59 3906 0.583800
62 9382 0.312300
63 5244 0.672100
63 7682 0.397100
64 8238 0.219500
65 2978 0.240800
66 4129 0.386400
68 1796 0.033500
68 5523 0.346700
70 806 0.552000
71 2079 0.558400
73 7017 0.066800
74 4903 0.581900
77 2702 0.475900
77 6162 0.661900
78 7744 0.786100
79 5041 0.190000
80 5090 0.961500
81 4680 0.535100
83 9002 0.914500
84 6658 0.645700
85 3299 0.153500
89 2387 0.052200
90 8119 0.015100
93 3661 0.196400
96 8191 0.527700
97 7758 0.147700
98 1171 0.073100
98 5191 0.554800
99 5039 0.981300
102 6141 0.162900
103 1899 0.156600
106 8078 0.163700
107 8807 0.078500
108 1949 0.718400
109 6058 0.446300
112 4123 0.510100
112 7476 0.605100
113 4006 0.883100
113 6872 0.121900
114 2482 0.290300
118 4036 0.062300
119 187 0.143500
120 2585 0.068000
122 3030 0.185100
123 2021 0.768700
124 9273 0.897700
125 1430 0.518300
125 2790 0.844600
126 280 0.228800
128 7308 0.428400
129 605 0.368300
130 2152 0.696000
130 7418 0.944400
131 1680 0.217900
131 2344 0.753000
134 1983 0.519800
134 3891 0.760100
136 2193 0.880900
138 3472 0.237500
138 6818 0.939700
141 5043 0.027200
143 1280 0.561500
146 2547 0.890500
146 5248 0.167000
146 8359 0.425200
148 4631 0.326900
149 325 0.567600
151 1953 0.827000
151 2256 0.391700
151 9480 0.621400
152 1487 0.965200
154 642 0.828500
154 7835 0.813400
157 8574 0.955100
158 2296 0.183100
159 2172 0.670400
159 5424 0.735600
159 5436 0.819600
160 5578 0.681000
161 8811 0.330100
163 4767 0.034700
163 5393 0.120200
163 9091 0.283700
164 3204 0.838200
165 3233 0.901400
165 4568 0.449900
167 6135 0.988500
168 7527 0.033800
168 7720 0.859500
170 3546 0.528600
170 5448 0.975500
172 7209 0.877200
172 8921 0.161300
173 4154 0.353400
173 5515 0.058000
174 946 0.444100
174 2156 0.441100
175 6036 0.326700
175 7051 0.914400
177 29 0.494600
177 4120 0.710200
178 3526 0.664600
178 7524 0.831800
180 8917 0.258000
181 3270 0.769200
182 1726 0.410600
182 2925 0.055700
183 7200 0.870600
184 2440 0.972300
184 5439 0.117000
186 515 0.508300
186 4213 0.755600
188 1741 0.110000
190 1082 0.033900
195 6416 0.441100
195 9028 0.129800
196 193 0.971600
198 1831 0.940200
198 7834 0.933100
200 1014 0.983800
209 6909 0.693000
209 9424 0.702500
211 3304 0.371300
211 6833 0.064100
212 8199 0.443500
213 2649 0.543000
213 8862 0.540200
215 7890 0.786300
216 3567 0.601400
220 29 0.947000
220 2720 0.631200
222 1015 0.878800
225 2658 0.122700
228 5836 0.813500
229 6028 0.977600
230 94 0.231200
230 3308 0.912700
231 2504 0.676400
232 5770 0.725100
235 1966 0.685800
237 5389 0.796700
237 6350 0.529600
238 9236 0.754600
239 181 0.503600
240 6714 0.907000
242 5596 0.123600
243 8395 0.852200
243 8849 0.175000
243 9402 0.764200
244 568 0.459300
246 7488 0.606100
247 694 0.364000
247 6088 0.401900
247 7593 0.730100
248 8102 0.955100
248 9429 0.878800
249 6263 0.609700
249 8637 0.967800
251 3901 0.634100
252 3761 0.777300
253 8740 0.898500
256 964 0.226600
256 8601 0.101300
257 4915 0.828300
257 7242 0.424500
257 9260 0.727100
259 2127 0.936700
260 2515 0.296500
260 5181 0.312200
261 149 0.549700
261 907 0.552600
261 4923 0.640400
261 5210 0.596600
261 8457 0.161200
262 3962 0.417900
263 6308 0.369100
265 8690 0.080300
267 5036 0.236300
267 7036 0.994300
268 8418 0.909300
269 826 0.790800
269 829 0.135100
269 6599 0.550300
269 6735 0.053800
269 7086 0.676600
270 3676 0.822300
271 1641 0.911400
271 6017 0.147200
272 1263 0.304900
273 2145 0.779900
273 7769 0.487200
274 1574 0.549200
275 1834 0.878200
276 8151 0.988300
278 645 0.019200
279 1528 0.351300
279 2932 0.534600
279 9070 0.747800
281 14 0.970000
283 2595 0.695100
284 2409 0.273300
284 5787 0.951100
286 2464 0.907700
288 1629 0.457400
289 8660 0.733200
290 3900 0.558200
295 743 0.993900
295 2624 0.389300
297 1881 0.881700
298 1628 0.893300
298 5203 0.386000
298 5359 0.727600
298 5859 0.912600
300 3654 0.904100
300 5094 0.081500
301 1370 0.033300
302 2496 0.572400
302 4660 0.009300
303 2033 0.198300
303 8596 0.020700
304 6909 0.792300
305 3373 0.190800
305 5344 0.952100
307 3791 0.770200
307 3811 0.816600
310 120 0.426100
310 8730 0.300200
317 710 0.680300
317 4430 0.858500
317 8261 0.871800
318 1874 0.897100
320 5719 0.843600
320 8126 0.485200
323 3191 0.488500
323 6594 0.065300
324 329 0.457000
325 3877 0.595600
326 5659 0.110100
330 4780 0.343800
332 0 0.264100
332 4541 0.580200
333 5757 0.435400
334 7337 0.415100
336 2016 0.054200
336 8239 0.259700
337 1180 0.244200
338 5586 0.709100
339 151 0.658900
339 7596 0.119200
340 466 0.129200
340 2410 0.078000
340 3936 0.735200
341 1896 0.556100
341 3485 0.834400
341 6416 0.106100
342 9257 0.256600
343 6981 0.054100
344 3311 0.656600
344 5453 0.277400
346 8384 0.709100
346 8467 0.130300
349 4615 0.524000
351 2468 0.045900
351 6047 0.101300
352 386 0.468900
353 541 0.710600
353 5975 0.601300
353 9432 0.204900
354 5195 0.618800
355 5741 0.699200
356 4726 0.314800
356 7006 0.804800
357 3616 0.178000
357 3956 0.241300
360 218 0.594700
364 4363 0.868200
364 5990 0.818700
365 1246 0.590100
366 3058 0.002300
366 8242 0.944500
367 8884 0.792500
369 1043 0.399300
369 6323 0.873400
370 6068 0.674400
370 6609 0.242400
379 1391 0.168400
379 4455 0.861100
379 4659 0.326600
381 1407 0.325200
381 6030 0.400200
382 747 0.763500
382 7234 0.164100
384 5798 0.688300
386 260 0.643300
386 5770 0.821400
386 9433 0.378500
387 4377 0.111900
390 72 0.859500
390 7390 0.713200
391 6277 0.575000
392 1416 0.741100
393 1678 0.753700
401 2725 0.555100
404 3929 0.800900
405 7481 0.670300
406 1911 0.535100
408 713 0.685900
410 6447 0.955200
412 1139 0.627800
413 8329 0.819100
414 1669 0.189000
414 2403 0.751500
415 6491 0.221600
416 1304 0.416400
416 3103 0.790900
417 4304 0.400000
417 5345 0.045100
417 7409 0.201000
417 8810 0.042900
419 2805 0.639200
419 4875 0.251800
419 4892 0.419900
419 6505 0.171800
421 876 0.884500
421 5545 0.341000
421 7827 0.205100
422 1967 0.795400
422 5809 0.024500
422 7442 0.039800
423 1967 0.529800
423 6551 0.933400
424 226 0.602200
424 1060 0.601200
424 5438 0.643900
426 4260 0.921900
427 4855 0.219300
427 7248 0.884900
429 4288 0.048800
429 5043 0.812000
431 8276 0.032600
433 3078 0.415000
434 5566 0.594700
435 1608 0.196800
437 1740 0.796100
437 4366 0.211000
439 4533 0.174400
442 135 0.613800
443 9075 0.941100
444 1740 0.661600
445 7286 0.214900
447 4207 0.913600
448 1231 0.380200
449 7087 0.035000
449 7104 0.227300
449 9394 0.906900
450 2683 0.869000
451 894 0.582500
451 1620 0.560800
454 7696 0.001100
454 8259 0.126900
454 8429 0.214600
455 4613 0.826800
455 7747 0.387600
457 2186 0.318100
457 5963 0.261800
457 8496 0.296500
459 2776 0.428200
460 2239 0.192400
460 6080 0.567500
461 1191 0.657700
461 8640 0.685600
461 9251 0.353700
463 2242 0.956800
464 408 0.243700
466 5954 0.748300
466 6862 0.390200
467 7418 0.844800
468 7315 0.372000
469 4772 0.707600
471 3291 0.345700
471 5734 0.877200
472 4068 0.750500
473 3477 0.434400
474 8602 0.400700
476 5331 0.372900
476 5363 0.443300
477 5385 0.380300
479 2835 0.072700
479 8600 0.440300
481 2320 0.606500
482 1254 0.304800
482 6690 0.406600
483 1488 0.101000
485 1571 0.476900
485 2253 0.292400
486 5329 0.016300
487 8986 0.884400
488 5739 0.210300
