9500 3000
0 595 -1.786900
0 1318 0.034000
0 1584 0.131500
0 2440 0.705300
1 763 -1.622300
1 2942 0.062800
2 2156 1.187500
2 2530 0.714400
3 346 0.278100
3 510 -1.377200
3 2101 -1.135800
3 2238 -0.468900
4 514 0.331600
4 779 -0.800700
4 1006 0.406200
4 1093 -1.564000
4 1218 1.881400
4 1650 -0.351300
5 350 0.530900
5 427 -1.017400
5 754 0.310500
5 2161 0.184900
6 795 -0.845600
6 1700 2.528000
6 1783 0.206200
6 1899 0.384800
6 2618 -0.951500
6 2980 -0.330800
7 895 -0.089900
9 76 0.744400
9 207 1.307200
9 1273 2.509400
10 50 0.661700
10 1813 0.992000
10 2694 0.062600
11 654 0.640100
11 2047 -0.848500
11 2864 -0.702000
12 40 0.550200
12 2568 0.133900
12 2842 1.041400
13 2190 1.487000
14 587 -0.174300
14 1614 -0.207000
14 1767 -0.425400
14 2046 -0.635200
14 2423 0.957900
15 2236 -1.035300
16 595 1.317500
16 962 0.660000
16 1808 -0.328400
16 2653 0.150700
17 578 0.092200
17 1175 -1.999900
17 2217 0.975000
19 106 0.606300
19 479 -0.724800
20 1100 -0.979800
21 30 0.232300
21 250 -0.765800
22 285 1.234700
22 326 -1.076700
22 977 0.901600
23 218 -0.065200
23 867 -0.213400
24 2987 -0.461500
25 300 1.009400
25 1547 0.531300
25 2063 0.027100
26 713 -0.316700
27 1129 -1.330000
27 2630 2.471100
27 2986 -0.865000
28 163 1.056900
28 800 0.362200
29 185 -0.560700
30 558 -2.187500
30 2262 0.514400
30 2538 -0.970100
31 596 -0.590200
31 878 0.138500
31 2099 0.873400
31 2220 0.353900
31 2519 -0.476600
32 2395 -0.131300
32 2759 0.676300
33 710 0.764200
34 696 0.465200
34 816 0.954500
35 91 0.464600
35 1834 -0.274300
36 61 -0.511000
36 210 2.484800
36 2561 0.742100
37 1179 -0.632400
37 1422 -1.176700
37 1507 -1.170400
38 1947 -0.219600
38 2020 -1.809300
39 2132 1.087600
39 2445 0.339300
39 2453 1.025500
40 2444 -1.331700
41 298 -1.114700
41 1311 -0.888300
41 2608 0.066500
42 7 0.100100
42 840 -0.790000
42 1112 0.040900
42 2252 2.079700
42 2405 1.226200
43 389 1.482100
43 726 2.027500
43 1073 -0.387000
43 1146 -1.750200
43 1316 1.786400
43 1572 2.195800
44 1030 -0.481200
44 2250 2.061000
44 2338 0.660500
45 173 1.532100
45 602 0.428400
45 1136 0.199100
45 2805 -3.049800
46 736 -0.219600
46 1597 0.369700
46 2027 0.283600
46 2261 -1.303900
47 363 -0.176800
47 687 2.233200
47 719 -0.996800
47 2671 -0.142600
48 435 0.772500
48 734 0.108800
48 1556 1.028700
48 1991 0.238000
48 2229 1.117800
49 660 -0.990000
49 1341 -1.073700
49 1902 -0.234000
50 1215 1.201300
50 1877 0.516700
50 1975 -0.161500
50 2025 -0.787900
50 2908 -0.594400
51 1264 1.348600
51 1736 -1.411700
52 1250 -0.985000
52 1816 -1.061200
52 2421 0.284600
52 2957 -1.344000
53 1262 -0.677600
53 1771 -0.344600
53 2612 1.825900
53 2960 -0.052500
54 1756 -1.045300
54 1826 -1.573200
54 2450 -0.585700
54 2480 -0.773000
54 2686 -0.892700
55 1213 1.374700
55 1726 0.603400
55 2697 0.824800
