5000 3000
1 767 0.045140
1 1269 -0.123306
1 1417 0.696407
1 1655 0.056588
1 2674 0.083897
2 242 0.044501
2 651 0.010669
2 757 -0.001432
2 882 -0.014792
2 2303 0.046807
3 564 0.152233
3 2909 -0.133895
4 2511 0.237907
4 2854 0.089911
5 1020 -0.219137
5 1305 0.310639
5 1598 0.309051
5 1606 -0.081448
5 1768 1.042371
5 2243 -0.491032
5 2268 -0.133045
5 2555 -0.992491
5 2609 0.048743
6 83 -0.152662
6 1832 -0.214746
7 113 0.054419
7 328 -0.002926
7 365 0.017595
7 1906 -1.981493
7 2646 -0.248949
7 2658 -0.024698
8 749 -0.694747
8 1533 0.523091
8 2943 1.761272
10 228 -1.213555
10 572 -0.192471
10 1763 -0.910761
11 1083 0.118711
11 1702 0.188087
11 2085 0.316768
13 409 -0.152529
13 969 -0.616844
13 1059 -0.005258
13 2045 -0.202213
13 2730 -0.544479
13 2835 0.806536
15 68 0.172924
15 500 0.279410
15 2420 0.631940
16 1445 -0.170980
16 1561 0.490900
16 2515 -0.250894
16 2538 0.014518
17 1655 -0.586315
17 2158 -0.365151
17 2963 0.773211
19 144 -0.620303
19 250 -0.090883
19 482 0.276817
19 1389 -0.094518
19 1681 0.738042
21 273 1.839589
21 1283 0.847818
21 2527 -0.351932
21 2836 -1.276640
22 763 -0.227502
22 2191 0.013039
23 2348 0.271426
23 2648 -0.063647
25 2287 0.291114
25 2309 0.908327
25 2516 -0.565305
28 3 0.273935
28 42 -1.118488
28 550 0.968579
28 1441 1.503106
28 2033 1.683961
29 193 -0.635961
29 1435 0.214078
29 1886 0.524821
29 2219 -0.324414
30 913 0.059118
30 1669 -0.024148
30 2243 -0.081575
30 2456 0.057316
31 1179 -0.342123
31 1382 0.939715
33 358 0.115789
33 677 -0.178735
33 826 0.292380
33 1344 0.116314
33 2452 -0.162391
33 2985 -0.130847
36 145 0.461668
36 258 0.495079
36 517 0.105234
36 1122 0.471155
36 1697 -0.209076
36 1859 -0.443932
36 1896 0.049807
36 2987 -0.254345
37 566 -0.219646
37 1934 0.467137
38 113 -0.066141
38 422 -0.100549
38 668 0.007146
38 875 -0.964049
38 1323 0.623916
38 1724 0.018656
38 1862 -0.277211
38 1969 0.014098
38 2230 0.010894
38 2391 -0.002756
38 2771 -0.192750
39 89 -0.070262
39 911 0.059235
39 919 -0.053791
39 2780 0.208598
41 137 0.177032
41 1538 1.546069
41 1604 -0.202836
41 1794 -0.200554
41 2678 0.540751
43 1267 0.186927
44 1230 0.024137
44 2131 0.217333
44 2331 -0.159365
44 2739 -0.560641
44 2743 -0.317946
48 719 -0.581624
48 1727 -0.053899
48 1843 -0.452940
48 2344 -1.048416
48 2972 0.431266
49 581 0.042518
49 1845 0.132314
49 2206 0.017178
49 2782 -0.177114
50 392 -0.052963
50 416 -0.011381
50 705 -0.007293
50 825 -0.375824
50 878 0.072941
50 1032 0.054767
50 1176 0.122090
50 1462 0.049152
50 1778 0.014996
50 1856 -0.029347
50 2491 -0.060508
51 303 0.023324
51 524 -0.051529
51 537 0.058730
51 796 -0.018735
51 2610 0.119359
54 673 1.247623
54 1643 -0.280090
56 2497 0.551776
57 835 0.042463
57 1126 0.147924
57 1887 0.103809
57 2660 -0.290849
59 664 0.742885
59 1832 0.349054
59 1900 0.954046
62 131 0.215331
62 280 0.428601
62 1706 0.532659
63 98 -0.870443
63 131 0.073186
63 601 0.432085
63 1244 0.462383
63 1413 -0.404248
63 1560 0.305370
63 1610 -0.310294
63 2237 -0.397480
63 2647 0.335589
63 2964 0.622902
64 33 -0.031213
64 883 -0.254730
64 2895 -0.143794
65 731 -0.086736
65 1236 -0.226906
65 1908 0.231890
66 554 -0.516655
66 968 0.589415
66 2307 0.052937
66 2371 0.058771
66 2574 -0.252860
68 299 0.446966
68 646 0.006489
68 1070 0.009052
68 2710 -0.050840
68 2883 0.030800
68 2958 0.010998
70 2140 0.239182
71 2153 -0.090405
73 177 0.076740
73 2450 -0.129999
74 512 1.091528
74 700 -0.113645
